URLs,Path_Details
https://www.timeout.com/edinburgh/sitemap.xml.gz,"['edinburgh', 'sitemap.xml.gz']"
https://www.timeout.com/ottawa/sitemap.xml.gz,"['ottawa', 'sitemap.xml.gz']"
https://www.timeout.com/rhode-island/sitemap.xml.gz,"['rhode-island', 'sitemap.xml.gz']"
https://www.timeout.com/mauritius/sitemap.xml.gz,"['mauritius', 'sitemap.xml.gz']"
https://www.timeout.com/bermuda/sitemap.xml.gz,"['bermuda', 'sitemap.xml.gz']"
https://www.timeout.com/reno/sitemap.xml.gz,"['reno', 'sitemap.xml.gz']"
https://www.timeout.com/accra/sitemap.xml.gz,"['accra', 'sitemap.xml.gz']"
https://www.timeout.com/buenos-aires/sitemap.xml.gz,"['buenos-aires', 'sitemap.xml.gz']"
https://www.timeout.com/es/buenos-aires/sitemap.xml.gz,"['es', 'buenos-aires', 'sitemap.xml.gz']"
https://www.timeout.com/israel/sitemap.xml.gz,"['israel', 'sitemap.xml.gz']"
https://www.timeout.fr/israel/fr/sitemap.xml.gz,"['https:', '', 'www.timeout.fr', 'israel', 'fr', 'sitemap.xml.gz']"
https://www.timeout.com/christchurch/sitemap.xml.gz,"['christchurch', 'sitemap.xml.gz']"
https://www.timeout.com/pretoria/sitemap.xml.gz,"['pretoria', 'sitemap.xml.gz']"
https://www.timeout.com/santorini/sitemap.xml.gz,"['santorini', 'sitemap.xml.gz']"
https://www.timeout.com/japan/sitemap.xml.gz,"['japan', 'sitemap.xml.gz']"
https://www.timeout.com/prague/sitemap.xml.gz,"['prague', 'sitemap.xml.gz']"
https://www.timeout.com/es/praga/sitemap.xml.gz,"['es', 'praga', 'sitemap.xml.gz']"
https://www.timeout.com/whistler/sitemap.xml.gz,"['whistler', 'sitemap.xml.gz']"
https://www.timeout.com/michigan/sitemap.xml.gz,"['michigan', 'sitemap.xml.gz']"
https://www.timeout.com/exeter/sitemap.xml.gz,"['exeter', 'sitemap.xml.gz']"
https://www.timeout.com/worthing/sitemap.xml.gz,"['worthing', 'sitemap.xml.gz']"
https://www.timeout.com/richmond/sitemap.xml.gz,"['richmond', 'sitemap.xml.gz']"
https://www.timeout.com/sri-lanka/sitemap.xml.gz,"['sri-lanka', 'sitemap.xml.gz']"
https://www.timeout.com/kentucky/sitemap.xml.gz,"['kentucky', 'sitemap.xml.gz']"
https://www.timeout.com/little-rock/sitemap.xml.gz,"['little-rock', 'sitemap.xml.gz']"
https://www.timeout.com/ipswich/sitemap.xml.gz,"['ipswich', 'sitemap.xml.gz']"
https://www.timeout.com/los-angeles/sitemap.xml.gz,"['los-angeles', 'sitemap.xml.gz']"
https://www.timeout.com/es/los-angeles/sitemap.xml.gz,"['es', 'los-angeles', 'sitemap.xml.gz']"
https://www.timeout.com/philadelphia/sitemap.xml.gz,"['philadelphia', 'sitemap.xml.gz']"
https://www.timeout.pt/lisboa/pt/sitemap.xml.gz,"['https:', '', 'www.timeout.pt', 'lisboa', 'pt', 'sitemap.xml.gz']"
https://www.timeout.com/lisbon/sitemap.xml.gz,"['lisbon', 'sitemap.xml.gz']"
https://www.timeout.com/es/lisboa/sitemap.xml.gz,"['es', 'lisboa', 'sitemap.xml.gz']"
https://www.timeout.com/tennessee/sitemap.xml.gz,"['tennessee', 'sitemap.xml.gz']"
https://www.timeout.com/manchester/sitemap.xml.gz,"['manchester', 'sitemap.xml.gz']"
https://www.timeout.com/usa/sitemap.xml.gz,"['usa', 'sitemap.xml.gz']"
https://www.timeout.com/es/estados-unidos/sitemap.xml.gz,"['es', 'estados-unidos', 'sitemap.xml.gz']"
https://www.timeout.com/melbourne/sitemap.xml.gz,"['melbourne', 'sitemap.xml.gz']"
https://www.timeout.com/switzerland/sitemap.xml.gz,"['switzerland', 'sitemap.xml.gz']"
https://www.timeout.com/launceston/sitemap.xml.gz,"['launceston', 'sitemap.xml.gz']"
https://www.timeout.com/pismo-beach/sitemap.xml.gz,"['pismo-beach', 'sitemap.xml.gz']"
https://www.timeout.com/destin/sitemap.xml.gz,"['destin', 'sitemap.xml.gz']"
https://www.timeout.com/brussels/sitemap.xml.gz,"['brussels', 'sitemap.xml.gz']"
https://www.timeout.com/addison/sitemap.xml.gz,"['addison', 'sitemap.xml.gz']"
https://www.timeout.com/leicestershire/sitemap.xml.gz,"['leicestershire', 'sitemap.xml.gz']"
https://www.timeout.com/virginia-beach/sitemap.xml.gz,"['virginia-beach', 'sitemap.xml.gz']"
https://www.timeout.com/cyprus/sitemap.xml.gz,"['cyprus', 'sitemap.xml.gz']"
https://www.timeout.com/hamburg/sitemap.xml.gz,"['hamburg', 'sitemap.xml.gz']"
https://www.timeout.com/colombo/sitemap.xml.gz,"['colombo', 'sitemap.xml.gz']"
https://www.timeout.com/oslo/sitemap.xml.gz,"['oslo', 'sitemap.xml.gz']"
https://www.timeout.com/sheffield/sitemap.xml.gz,"['sheffield', 'sitemap.xml.gz']"
https://www.timeout.com/bruges/sitemap.xml.gz,"['bruges', 'sitemap.xml.gz']"
https://www.timeout.com/dartmouth/sitemap.xml.gz,"['dartmouth', 'sitemap.xml.gz']"
https://www.timeout.com/dorset/sitemap.xml.gz,"['dorset', 'sitemap.xml.gz']"
https://www.timeout.com/tacoma/sitemap.xml.gz,"['tacoma', 'sitemap.xml.gz']"
https://www.timeout.com/bangalore/sitemap.xml.gz,"['bangalore', 'sitemap.xml.gz']"
https://www.timeout.com/hungary/sitemap.xml.gz,"['hungary', 'sitemap.xml.gz']"
https://www.timeout.com/taipei/sitemap.xml.gz,"['taipei', 'sitemap.xml.gz']"
https://www.timeout.com/durham/sitemap.xml.gz,"['durham', 'sitemap.xml.gz']"
https://www.timeout.com/da-nang/sitemap.xml.gz,"['da-nang', 'sitemap.xml.gz']"
https://www.timeout.com/sunshine-coast/sitemap.xml.gz,"['sunshine-coast', 'sitemap.xml.gz']"
https://www.timeout.com/nottingham/sitemap.xml.gz,"['nottingham', 'sitemap.xml.gz']"
https://www.timeout.com/florida/sitemap.xml.gz,"['florida', 'sitemap.xml.gz']"
https://www.timeout.com/italy/sitemap.xml.gz,"['italy', 'sitemap.xml.gz']"
https://www.timeout.com/bellevue/sitemap.xml.gz,"['bellevue', 'sitemap.xml.gz']"
https://www.timeout.com/victoria/sitemap.xml.gz,"['victoria', 'sitemap.xml.gz']"
https://www.timeout.com/seattle/sitemap.xml.gz,"['seattle', 'sitemap.xml.gz']"
https://www.timeout.com/jaipur/sitemap.xml.gz,"['jaipur', 'sitemap.xml.gz']"
https://www.timeout.com/arkansas/sitemap.xml.gz,"['arkansas', 'sitemap.xml.gz']"
https://www.timeout.com/cambridgeshire/sitemap.xml.gz,"['cambridgeshire', 'sitemap.xml.gz']"
https://www.timeout.pt/porto/pt/sitemap.xml.gz,"['https:', '', 'www.timeout.pt', 'porto', 'pt', 'sitemap.xml.gz']"
https://www.timeout.com/porto/sitemap.xml.gz,"['porto', 'sitemap.xml.gz']"
https://www.timeout.com/es/oporto/sitemap.xml.gz,"['es', 'oporto', 'sitemap.xml.gz']"
https://www.timeout.com/bali/sitemap.xml.gz,"['bali', 'sitemap.xml.gz']"
https://www.timeout.com/montreal/sitemap.xml.gz,"['montreal', 'sitemap.xml.gz']"
https://www.timeout.com/fr/montreal/sitemap.xml.gz,"['fr', 'montreal', 'sitemap.xml.gz']"
https://www.timeout.com/busan/sitemap.xml.gz,"['busan', 'sitemap.xml.gz']"
https://www.timeout.com/barbados/sitemap.xml.gz,"['barbados', 'sitemap.xml.gz']"
https://www.timeout.com/baltimore/sitemap.xml.gz,"['baltimore', 'sitemap.xml.gz']"
https://www.timeout.com/maldives/sitemap.xml.gz,"['maldives', 'sitemap.xml.gz']"
https://www.timeout.com/sweden/sitemap.xml.gz,"['sweden', 'sitemap.xml.gz']"
https://www.timeout.com/national-harbor/sitemap.xml.gz,"['national-harbor', 'sitemap.xml.gz']"
https://www.timeout.com/tampa/sitemap.xml.gz,"['tampa', 'sitemap.xml.gz']"
https://www.timeout.com/hoboken/sitemap.xml.gz,"['hoboken', 'sitemap.xml.gz']"
https://www.timeout.com/poland/sitemap.xml.gz,"['poland', 'sitemap.xml.gz']"
https://www.timeout.com/long-island/sitemap.xml.gz,"['long-island', 'sitemap.xml.gz']"
https://www.timeout.com/sao-paulo/sitemap.xml.gz,"['sao-paulo', 'sitemap.xml.gz']"
https://www.timeout.com/oban/sitemap.xml.gz,"['oban', 'sitemap.xml.gz']"
https://www.timeout.com/louisville/sitemap.xml.gz,"['louisville', 'sitemap.xml.gz']"
https://www.timeout.com/noosa/sitemap.xml.gz,"['noosa', 'sitemap.xml.gz']"
https://www.timeout.com/auckland/sitemap.xml.gz,"['auckland', 'sitemap.xml.gz']"
https://www.timeout.com/vienna/sitemap.xml.gz,"['vienna', 'sitemap.xml.gz']"
https://www.timeout.com/scottsdale/sitemap.xml.gz,"['scottsdale', 'sitemap.xml.gz']"
https://www.timeout.com/palo-alto/sitemap.xml.gz,"['palo-alto', 'sitemap.xml.gz']"
