artist_name,spotify_id,genres,popularity_score,followers_count,spotify_profile_url,image_url
Israel Filho & Forró Beatles,33b1KmOX7FpzOVMeDpz16I,,0,67,https://open.spotify.com/artist/33b1KmOX7FpzOVMeDpz16I,https://i.scdn.co/image/ab67616d0000b273e536b99175ccfc2c8fa9c2de
The Tijunana Beatles Cover Band,7ksuU2G5UFiLIQNqTVhUul,,0,6,https://open.spotify.com/artist/7ksuU2G5UFiLIQNqTVhUul,https://i.scdn.co/image/ab67616d0000b27329032bb869851c0e50e45a85
Paul Beatless,2dgwbBeeiImgXZLC3fqAs7,,0,0,https://open.spotify.com/artist/2dgwbBeeiImgXZLC3fqAs7,
Oriental Beatles,2dPRuGo11oairZs2r3y92r,,0,28,https://open.spotify.com/artist/2dPRuGo11oairZs2r3y92r,https://i.scdn.co/image/ab67616d0000b27389a3728c79f72641d1c84c02
Deathwatch Beatles,3WiqwVObQoL01ZJG8WxGMP,,0,0,https://open.spotify.com/artist/3WiqwVObQoL01ZJG8WxGMP,
Danny BeatLess,6kDKj2bZizXWKRA5eXkjip,,0,1,https://open.spotify.com/artist/6kDKj2bZizXWKRA5eXkjip,https://i.scdn.co/image/ab67616d0000b2736ccdfc939617b1329db675d6
The Beatless,1o87i8ILTqu19oPNCsWTIo,,0,6,https://open.spotify.com/artist/1o87i8ILTqu19oPNCsWTIo,https://i.scdn.co/image/ab67616d0000b273ccdaa0ddf2f3e09c7a542fb1
The Norwegian Beatles,6ea6bBvg2oAmtRJ5aHRATP,,0,148,https://open.spotify.com/artist/6ea6bBvg2oAmtRJ5aHRATP,https://i.scdn.co/image/ab6761610000e5eb994f470bb7ad4141643e3a24
New Beatles,1b3M8Mes1Fg3nvEtqFO38z,,0,108,https://open.spotify.com/artist/1b3M8Mes1Fg3nvEtqFO38z,https://i.scdn.co/image/ab6761610000e5eb376b5f844537c5d716b59af4
Young Beatles,6gJEB3w2eygmHdIuWk4LSt,,0,37,https://open.spotify.com/artist/6gJEB3w2eygmHdIuWk4LSt,https://i.scdn.co/image/ab6761610000e5eb9aca648000bad7589bc94353
Bhangra Beatles,2BzKD9BQM6RLbrku235epS,,0,20,https://open.spotify.com/artist/2BzKD9BQM6RLbrku235epS,https://i.scdn.co/image/ab6761610000e5eb95320164bc06918c78453aad
Better Than The Beatles,5qW4j3RXhL3aRytG86jLtW,,0,235,https://open.spotify.com/artist/5qW4j3RXhL3aRytG86jLtW,https://i.scdn.co/image/ab6761610000e5ebf954566c51de954b137242a4
beatles,3YojAkU7hiAalEunJy55JW,,0,3015,https://open.spotify.com/artist/3YojAkU7hiAalEunJy55JW,
Evil Beatles,5foQlEgD3g1sIiH6p1XJb4,,0,36,https://open.spotify.com/artist/5foQlEgD3g1sIiH6p1XJb4,https://i.scdn.co/image/ab67616d0000b2736cb392d6cf7387e90827e204
the beatles featuring mark pearson,4PCfEqDs3CzWQu4l98pBIR,,0,38,https://open.spotify.com/artist/4PCfEqDs3CzWQu4l98pBIR,
Beatless Lofi,0zaBmWrkaaC7wAHYvnsxye,,0,0,https://open.spotify.com/artist/0zaBmWrkaaC7wAHYvnsxye,https://i.scdn.co/image/ab67616d0000b273dbaf2a7b2caa2073bedc743c
